,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
7429,7,11,576318928,0,3,0.35,,0.5,0.214285714,0.088607595,10,500to1999,6to10,0,FALSE,1,h. $5M - $50M,N,1,0,0,0,1,1,1,1,8.666666667
7430,10,8,509226,1,3,1,1,1,0,0.636363636,9,100to499,GT10,1,FALSE,1,g. $500K - $5M,N,1,0,0,0,1,1,1,0,2
7431,7,5,5.55555E+15,,2,,,,,,,,,,,,,,,,,,,,,,
7432,8,11,1510086187,0,3,0.666666667,,1,,,,,,,,,,,,,,,,,,,
7433,10,8,729150464,1,3,1,0.5,1,0.666666667,0.411764706,10,500to1999,3to5,1,FALSE,0,h. $5M - $50M,N,1,0,0,1,1,1,0,0,
7434,10,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
7435,9,10,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
7436,7,7,729314585,0.2,2,1,0.777777778,,0,0,2,GTE2000,3to5,0,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,0,
7437,7,5,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
7438,8,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7439,9,10,1281743613,1,3,1,,,0,0,10,LT100,,0,TRUE,0,f. $50K - $500K,N,1,0,0,0,0,0,0,0,
7440,10,10,5.55555E+15,,3,,,,,,,,,,,,,,,,,,,,,,
7441,6,7,5.55555E+15,,4,,,,,,,,,,,,,,,,,,,,,,
7442,7,5,905524001,0.4,2,0.681818182,0,1,0.25,0.015,9,GTE2000,GT10,0,TRUE,1,g. $500K - $5M,N,1,1,0,0,1,1,0,1,
7443,7,8,1307113843,0,1,0,,,,,,,,,,,,,,,,,,,,,
7444,9,8,1438928408,1,2,1,1,,,,,,,,,,,,,,,,,,,,10
7445,8,9,1218672355,1,2,1,,,,,,,,,,,,,,,,,,,,,10
7446,10,10,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
7447,9,8,1186085965,1,2,1,,,0,0,10,100to499,1,0,FALSE,0,h. $5M - $50M,Y,1,1,0,0,1,1,0,0,2
7448,8,7,1231024597,1,2,0.666666667,0.666666667,,,,,,,,,,,,,,,,,,,,
7449,10,5,812338,0.4,1,0.666666667,,1,,,,,,,,,,,,,,,,,,,
7450,9,7,5.55555E+15,0.5,2,0.5,,,,,,,,,,,,,,,,,,,,,
7451,9,9,1154681029,1,4,1,,0.818181818,0,0,10,GTE2000,GT10,0,FALSE,0,h. $5M - $50M,N,1,0,0,0,0,0,0,0,
7452,7,7,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
7453,5,5,559781098,0,2,0.5,,,0,0.092896175,10,500to1999,GT10,0,FALSE,1,h. $5M - $50M,N,1,1,0,0,0,0,0,1,
7454,10,9,1072497313,1,3,0.333333333,0.894736842,0.5,6.5,0.15,2,GTE2000,1,0,FALSE,1,c. AON Consulting,N,1,0,0,0,1,1,1,0,9.666666667
7455,10,10,467482,1,2,1,,,,,,,,,,,,,,,,,,,,,
7456,6,6,5.55555E+15,0,3,0,,,,,,,,,,,,,,,,,,,,,
7457,6,6,784946,0,2,0,,0,0.6,0.186440678,7,500to1999,6to10,1,FALSE,1,h. $5M - $50M,N,1,0,0,0,1,1,0,0,
7458,8,11,1353731991,0.8,3,0.333333333,0.688888889,0.75,0,0.052631579,10,GTE2000,3to5,0,FALSE,0,g. $500K - $5M,N,1,0,0,0,1,1,0,0,
7459,9,11,341674625,1,4,0.615384615,,1,,,,,,,,,,,,,,,,,,,
